DOI,Äê·Ý,ID,ÂÛÎÄ,ÆÚ¿¯,Ñô¼«,Òõ¼«,µç½âÒº,ÀíÂÛÈÝÁ¿£¨mAh g-1£©,µçÁ÷ÃÜ¶È(mA g-1),³õÊ¼ÈÝÁ¿(mAh g-1),×î¸ßÈÝÁ¿(mAh g-1),·ÅµçµçÑ¹£¨vs.Mg/Mg2+£©,Ñ­»·È¦Êý,·ÅµçºóÈÝÁ¿(mAh g-1),ÈÝÁ¿±£³ÖÂÊ(%),ÎÂ¶È(¡æ),Ñ­»·È¦Êý,µç×è£¨¦¸£©,µ¥Î»Ãæ»ýÉÏµÄµçÁ÷ÃÜ¶È£¨mA cm-2£©,Ã¾ÍÑÀëÊ±µÄ¹ýµçÎ»(mV),Àë×Óµçµ¼ÂÊ(mS cm-1),µç»¯Ñ§´°¿Ú£¨V),¿âÂ×Ð§ÂÊ£¨%£©,ÌîÐ´ÈË,¸´ºËÈË
10.1016/j.electacta.2016.05.202,2016/8/20,MIB0032,Copper Selenide as a New Cathode Material based on Displacement Reaction for Rechargeable Magnesium Batteries,Electrochimica Acta,Mg,¦Â-Cu2Se,the Mg(AlCl2EtBu)2 electrolyte,260,5,,150,0.95,,,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
?10.1021/acs.nanolett.6b02593,2016/9/16,MIB0033,Disulfide-Bridged (Mo3S11) Cluster Polymer: Molecular Dynamics and Application as Electrode Material for a Rechargeable Magnesium Battery,Nano Letters,Mg,Mo3S11,LiCl + [Mg2Cl3]+[AlPh2Cl2]?/THF) electrolyte,,10,,117,1.05,,,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
?10.1021/acs.nanolett.6b02593,2016/9/16,MIB0034,Disulfide-Bridged (Mo3S11) Cluster Polymer: Molecular Dynamics and Application as Electrode Material for a Rechargeable Magnesium Battery,Nano Letters,Mg,Mo3S11,LiCl + [Mg2Cl3]+[AlPh2Cl2]?/THF) electrolyte,,20,,101,,,,,,,,,,,,,,
?10.1021/acs.nanolett.6b02593,2016/9/16,MIB0035,Disulfide-Bridged (Mo3S11) Cluster Polymer: Molecular Dynamics and Application as Electrode Material for a Rechargeable Magnesium Battery,Nano Letters,Mg,Mo3S11,LiCl + [Mg2Cl3]+[AlPh2Cl2]?/THF) electrolyte,,50,,77,,,,,,,,,,,,,,
10.1021/acs.langmuir.7b01609,2017/7/6,MIB0036,Hexafluorophosphate-Based Solutions for Mg Batteries and the Importance of Chlorides,Langmuir,Mg,Pt and stainless steel,highly pure LiPF6 in pure DME,,,,,,,,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
10.1038/s41467-017-00431-9,2017/8/24,MIB0037,"Fast kinetics of magnesium monochloride cations
in interlayer-expanded titanium disulfide for
magnesium rechargeable batteries",Nature Communications,Mg,exTiS2,"a solution of 0.25 M
[Mg2Cl3]+[AlPh2Cl2] in THF£¨Standard APC electrolyte£©",,24,,173,,,,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
10.1038/s41467-017-00431-9,2017/8/24,MIB0038,"Fast kinetics of magnesium monochloride cations
in interlayer-expanded titanium disulfide for
magnesium rechargeable batteries",Nature Communications,Mg,exTiS2,"a solution of 0.25 M
[Mg2Cl3]+[AlPh2Cl2] in THF£¨Standard APC electrolyte£©",,1C,,,,400,,80,,,,,,,,,,
10.1039/c8nr03375g,2018/6/4,MIB0039,Copper sulfide nanoparticles as high-performance cathode materials for magnesium secondary batteries,Nanoscale,Mg,"CuS-I (Aladdin, 99.99%",(Mg(HMDS)2¡¢ÎÞË®¶þ¸Ê´¼¶þ¼×ÃÑ¡¢AlCl3,,50,275,,,350,120,58,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
10.1039/c8nr03375g,2018/6/4,MIB0040,Copper sulfide nanoparticles as high-performance cathode materials for magnesium secondary batteries,Nanoscale,Mg,"CuS-I (Aladdin, 99.99%",(Mg(HMDS)2¡¢ÎÞË®¶þ¸Ê´¼¶þ¼×ÃÑ¡¢AlCl3,,1000,,90,,,,,,,,,,,,,,
10.1039/c8nr03375g,2018/6/4,MIB0041,Copper sulfide nanoparticles as high-performance cathode materials for magnesium secondary batteries,Nanoscale,Mg,"CuS-II (Macklin, 99.0%)",(Mg(HMDS)2¡¢ÎÞË®¶þ¸Ê´¼¶þ¼×ÃÑ¡¢AlCl3,,50,250,,,,,,,,,,,,,,,
